No,Agence,Année,Trimestre,Nom du fournisseur,Numéro de référence,Date du contrat,Devis – numéro,Devis – catégorie,Devis – sous-catégorie,Contrat-début,Contrat-fin,Contrat durée (jours),Valeur du contrat (fin),Valeur du contrat (originale),Extra,Commentaires
26,Élections Canada,2004,1,AJILON CANADA,4-0095,2004-04-07,472,Conseillers en technologie d'information,,2004-04-01,2004-07-07,97,"36786,6","36786,6",0,
27,Élections Canada,2004,1,"HALE, JAMES",4-0107,2004-04-21,491,Services de conseillers en gestion,,2004-04-01,2004-08-31,152,25466,25466,0,
28,Élections Canada,2004,1,"JOLIVET, GERARD",4-0108,2004-04-16,491,Services de conseillers en gestion,,2004-04-01,2004-08-31,152,25466,25466,0,
29,Élections Canada,2004,1,"PAQUIN, GILLES",4-0109,2004-04-22,491,Services de conseillers en gestion,,2004-04-01,2004-08-31,152,25466,25466,0,
30,Élections Canada,2004,1,"BELLEFEUILLE, ROGER",4-0110,2004-04-26,352,Services de relations publiques,,2004-04-01,2004-08-31,152,"25465,98","25465,98",0,
31,Élections Canada,2004,1,CORADIX TECHNOLOGY,4-0118,2004-04-13,472,Conseillers en technologie d'information,,2004-04-07,2004-06-30,84,"16520,8","16520,8",0,
32,Élections Canada,2004,1,COMPUTER MEDIA GROUP,4-0127,2004-04-08,1179,Marchandises et produits divers,,2004-04-13,2005-03-31,352,10700,10700,0,
33,Élections Canada,2004,1,AXIDATA INC.,4-0128,2004-04-08,1179,Marchandises et produits divers,,2004-04-13,2005-03-31,352,10700,10700,0,
34,Élections Canada,2004,1,ELSYS LASER SYSTEMS CORP.,4-0137,2004-04-13,1179,Marchandises et produits divers,,2004-04-13,2005-03-31,352,10700,10700,0,
35,Élections Canada,2004,1,PRINTCRAFTERS INC.,4-0151,2004-04-21,321,Services d'imprimerie,,2004-04-05,2004-04-27,22,30174,30174,0,
36,Élections Canada,2004,1,NATIONAL PRINTERS,4-0163,2004-04-14,321,Services d'imprimerie,,2004-04-13,2004-12-30,261,"17336,14","17336,14",0,
37,Élections Canada,2004,1,BROOKFIELD LEPAGE JOHNSON,4-0166,2004-04-15,630,Édifices à bureaux,,2004-04-15,2005-03-31,350,10700,10700,0,
38,Élections Canada,2004,1,BROOKFIELD LEPAGE JOHNSON,4-0168,2004-04-15,630,Édifices à bureaux,,2004-04-15,2005-03-31,350,21400,21400,0,
39,Élections Canada,2004,1,R.H.D.F. 2000,4-0198,2004-04-19,491,Services de conseillers en gestion,,2004-04-20,2004-11-30,224,"27124,5","27124,5",0,
40,Élections Canada,2004,1,THE COMMISSIONAIRES,4-0201,2004-04-16,460,Services de protection,,2004-04-16,2004-06-30,75,"10310,26","10310,26",0,
41,Élections Canada,2004,1,BROOKFIELD LEPAGE JOHNSON,4-0216,2004-04-19,630,Édifices à bureaux,,2004-04-19,2005-03-31,346,"10079,13","10079,13",0,
42,Élections Canada,2004,1,LEARNING SUPPORT COUNCIL OF CANADA,4-0225,2004-05-12,321,Services d'imprimerie,,2004-04-01,2005-03-31,364,128400,128400,0,
43,Élections Canada,2004,1,GRAND AND TOY,4-0258,2004-04-20,1179,Marchandises et produits divers,,2004-04-20,2005-03-31,345,21400,21400,0,
44,Élections Canada,2004,1,CANON CANADA INC.,4-0262,2004-04-26,1239,Autre materiel de bureau,,2004-04-26,2007-05-02,1101,"10859,94","10859,94",0,
45,Élections Canada,2004,1,CANON CANADA INC.,4-0263,2004-04-26,1239,Autre materiel de bureau,,2004-04-26,2007-05-02,1101,"15813,23","15813,23",0,
46,Élections Canada,2004,1,"SUTINEN, LORI",4-0271,2004-04-27,499,Autres services professionnels non précisés ailleurs,,2004-04-22,2004-12-31,253,26750,26750,0,
47,Élections Canada,2004,1,CANADIAN ASSOC. OF THE DEAF,4-0275,2004-05-05,499,Autres services professionnels non précisés ailleurs,,2004-04-21,2004-06-30,70,"21828,43","21828,43",0,
48,Élections Canada,2004,1,NORTHERN MICRO,4-0280,2004-04-21,1227,"Matériel d'ordinateurs petit, dessus de bureau personnel / portatif",,2004-05-02,2004-05-21,19,"15757,89","15757,89",0,
49,Élections Canada,2004,1,AMEC EARTH AND ENVIRONMENTAL,4-069,2004-04-01,472,Conseillers en technologie d'information,,2004-04-01,2005-03-31,364,"58213,35","58213,35",0,
50,Élections Canada,2004,1,CANADIAN COMMUNICATION,4-3009,2004-04-22,1179,Marchandises et produits divers,,2004-04-21,2004-05-30,39,"12039,64","12039,64",0,
51,Élections Canada,2004,1,MONDRIAN CANADA,4-3049,2004-04-26,1179,Marchandises et produits divers,,2004-04-01,2005-03-31,364,10700,10700,0,
52,Élections Canada,2004,1,GILMORE REPRODUCTIONS,4-3050,2004-04-24,321,Services d'imprimerie,,2004-04-01,2005-03-31,364,16050,16050,0,
53,Élections Canada,2004,1,NATIONAL PRINTERS,4-3081,2004-04-29,491,Services de conseillers en gestion,,2004-04-23,2004-05-07,14,128293,128293,0,
54,Élections Canada,2004,1,1270380 ONTARIO LTD.,4-3092,2004-04-27,491,Services de conseillers en gestion,,2004-04-26,2004-05-21,25,16050,16050,0,
55,Élections Canada,2004,1,THE COMMISSIONAIRES,4-3102,2004-04-27,460,Services de protection,,2004-04-27,2004-06-30,64,"10681,18","10681,18",0,
56,Élections Canada,2004,1,BROOKFIELD LEPAGE JOHNSON,4-3103,2004-04-27,630,Édifices à bureaux,,2004-04-28,2004-09-01,126,"13830,98","13830,98",0,
57,Élections Canada,2004,1,DELTA PRINTING LTD.,4-3108,2004-04-28,321,Services d'imprimerie,,2004-04-27,2004-04-28,1,"13503,4","13503,4",0,
58,Élections Canada,2004,1,"COURTNEY, JOHN C.",4-3112,2004-05-13,492,Contrats de recherche,,2004-05-03,2004-12-31,242,14980,14980,0,
59,Élections Canada,2004,1,COMPUWARE CORPORATION,4-3123,2004-06-22,472,Conseillers en technologie d'information,,2004-05-03,2004-06-30,58,"23595,64","23595,64",0,
60,Élections Canada,2004,1,TRI-CO PRINTING INC.,4-3130,2004-04-30,321,Services d'imprimerie,,2004-04-29,2004-06-30,62,"12319,98","12319,98",0,
61,Élections Canada,2004,1,PROGESTIC INTERNATIONAL INC.,4-3142,2004-05-05,491,Services de conseillers en gestion,,2004-04-23,2004-07-31,99,"24470,9","24470,9",0,
62,Élections Canada,2004,1,ST. JOSEPH DIGITAL SOLUTIONS,4-3145,2004-04-30,321,Services d'imprimerie,,2004-04-28,2004-04-30,2,10058,10058,0,
63,Élections Canada,2004,1,NATIONAL PRINTERS,4-3146,2004-04-30,321,Services d'imprimerie,,2004-04-28,2004-04-30,2,"10325,5","10325,5",0,
64,Élections Canada,2004,1,NATIONAL PRINTERS,4-3147,2004-04-30,321,Services d'imprimerie,,2004-04-28,2004-04-30,2,"10325,5","10325,5",0,
65,Élections Canada,2004,1,"HOTTE, JEAN-LOUIS",4-3184,2004-05-07,491,Services de conseillers en gestion,,2004-05-02,2004-06-30,59,"24947,05","24947,05",0,
66,Élections Canada,2004,1,NORTHERN MICRO,4-3187,2004-05-04,1227,"Matériel d'ordinateurs petit, dessus de bureau personnel / portatif",,2004-05-17,2004-05-31,14,"12866,75","12866,75",0,
67,Élections Canada,2004,1,FREEBALANCE,4-3210,2004-05-05,1228,Logiciels,,2004-05-10,2005-05-09,364,"33223,5","33223,5",0,
68,Élections Canada,2004,1,THE REGIONAL GROUP,4-3218,2004-05-01,630,Édifices à bureaux,,2004-05-07,2004-09-01,117,10700,10700,0,
69,Élections Canada,2004,1,PRECISION TRANSFER TECHNOLOGIE,4-3265,2004-05-07,321,Services d'imprimerie,,2004-04-28,2004-06-30,63,"16578,58","16578,58",0,
70,Élections Canada,2004,1,PROGESTIC INTERNATIONAL INC.,4-3266,2004-05-26,491,Services de conseillers en gestion,,2004-04-26,2004-06-07,42,19046,19046,0,
71,Élections Canada,2004,1,THE COMMISSIONAIRES,4-3267,2004-05-07,210,Transports d'objets non spécifiés ailleurs,,2004-05-10,2005-03-31,325,"33432,79","33432,79",0,
72,Élections Canada,2004,1,VOICEPRINT CANADA,4-3275,2004-05-21,332,Services audio,,2004-05-07,2004-10-31,177,14766,14766,0,
73,Élections Canada,2004,1,"CLARKE, JEFF",4-3280,2004-05-11,351,Autres services de communication non spécifiés ailleurs,,2004-05-10,2004-12-31,235,13910,13910,0,
74,Élections Canada,2004,1,DOMINION INSTITUTE (THE),4-3303,2004-06-09,492,Contrats de recherche,,2004-04-16,2005-03-31,349,50290,50290,0,
75,Élections Canada,2004,1,HARQUAIL PHOTOGRAPHY,4-3319,2004-05-21,351,Autres services de communication non spécifiés ailleurs,,2004-05-12,2004-12-31,233,24396,24396,0,
76,Élections Canada,2004,1,"BROWN, DWAYNE STUDIO INC.",4-3320,2004-05-14,351,Autres services de communication non spécifiés ailleurs,,2004-05-12,2004-12-31,233,13375,13375,0,
77,Élections Canada,2004,1,"CANTIN, ADRIEN",4-3326,2004-06-10,491,Services de conseillers en gestion,,2004-05-16,2004-08-31,107,"25464,93","25464,93",0,
78,Élections Canada,2004,1,S & S SOFTWARE LTD.,4-3335,2004-05-19,472,Conseillers en technologie d'information,,2004-05-17,2004-08-16,91,29853,29853,0,
79,Élections Canada,2004,1,AJILON CANADA,4-3339,2004-05-19,472,Conseillers en technologie d'information,,2004-05-14,2004-06-30,47,17976,17976,0,
80,Élections Canada,2004,1,TRI-CO PRINTING INC.,4-3352,2004-05-18,321,Services d'imprimerie,,2004-05-17,2004-07-30,74,"19255,72","19255,72",0,
81,Élections Canada,2004,1,DATA FIX,4-3358,2004-05-21,341,Services de recherche en communications,,2004-05-13,2004-05-31,18,19260,19260,0,
82,Élections Canada,2004,1,LOWE-MARTIN GROUP INC.,4-3378,2004-05-19,321,Services d'imprimerie,,2004-05-19,2004-05-25,6,10700,10700,0,
83,Élections Canada,2004,1,TRI-CO PRINTING INC.,4-3383,2004-05-20,321,Services d'imprimerie,,2004-05-20,2004-12-31,225,"16471,58","16471,58",0,
84,Élections Canada,2004,1,WORKLOGIC.COM CORPORATION,4-3392,2004-06-07,670,Équipement d'informatique,appareils et logiciels,2004-06-01,2005-05-31,364,"20665,98","20665,98",0,
85,Élections Canada,2004,1,JOHNSTON EQUIPMENT,4-3395,2004-05-21,1249,Autres pièces et matériel,,2004-05-07,2004-05-28,21,"12385,25","12385,25",0,
86,Élections Canada,2004,1,"JORDAN, NESBITT AND ASSOCIATES",4-3396,2004-05-21,351,Autres services de communication non spécifiés ailleurs,,2004-05-23,2004-06-28,36,"13460,6","13460,6",0,
87,Élections Canada,2004,1,"CREMER, PIERRE",4-3399,2004-05-21,351,Autres services de communication non spécifiés ailleurs,,2004-05-23,2004-06-28,36,"10031,25","10031,25",0,
88,Élections Canada,2004,1,EXCEL HUMAN RESOURCES,4-3400,2004-05-21,472,Conseillers en technologie d'information,,2004-05-26,2004-07-09,44,"20843,6","20843,6",0,
89,Élections Canada,2004,1,QUNARA INC.,4-3401,2004-05-21,472,Conseillers en technologie d'information,,2004-05-26,2004-07-09,44,27820,27820,0,
90,Élections Canada,2004,1,FSG CONSULTANTS,4-3402,2004-05-21,472,Conseillers en technologie d'information,,2004-05-26,2004-07-09,44,23540,23540,0,
91,Élections Canada,2004,1,FSG CONSULTANTS,4-3403,2004-05-21,472,Conseillers en technologie d'information,,2004-05-26,2004-07-09,44,20116,20116,0,
92,Élections Canada,2004,1,SYSTEMATIX,4-3404,2004-05-21,472,Conseillers en technologie d'information,,2004-05-26,2004-07-09,44,22898,22898,0,
93,Élections Canada,2004,1,HPH CONSULTING SERVICES INC.,4-3406,2004-05-27,491,Services de conseillers en gestion,,2004-05-25,2004-12-30,219,24610,24610,0,
94,Élections Canada,2004,1,SYSTEMATIX,4-3407,2004-05-21,472,Conseillers en technologie d'information,,2004-05-26,2004-07-09,44,22898,22898,0,
95,Élections Canada,2004,1,SYSTEMATIX,4-3408,2004-05-21,472,Conseillers en technologie d'information,,2004-05-26,2004-07-09,44,26108,26108,0,
96,Élections Canada,2004,1,ALBERT AT BAY SUITE HOTEL,4-3410,2004-05-21,570,Location,autres,2004-05-14,2004-07-31,78,"192359,25","192359,25",0,
97,Élections Canada,2004,1,1270380 ONTARIO LTD.,4-3411,2004-05-26,491,Services de conseillers en gestion,,2004-05-24,2004-10-29,158,"84262,5","84262,5",0,
98,Élections Canada,2004,1,EKOS RESEARCH,4-3412,2004-05-21,859,Autres services commerciaux qui ne sont pas précisés ailleurs,,2004-05-25,2004-12-31,220,"133209,65","133209,65",0,
99,Élections Canada,2004,1,EXCEL HUMAN RESOURCES,4-3416,2004-05-24,813,Services d'aide temporaire,,2004-05-24,2004-07-02,39,"10963,86","10963,86",0,
100,Élections Canada,2004,1,EXCEL HUMAN RESOURCES,4-3426,2004-05-24,813,Services d'aide temporaire,,2004-05-24,2004-06-30,37,12067,12067,0,
101,Élections Canada,2004,1,EXCEL HUMAN RESOURCES,4-3427,2004-05-24,813,Services d'aide temporaire,,2004-05-24,2004-06-16,23,12067,12067,0,
102,Élections Canada,2004,1,HUNT TEMPORARILY YOURS,4-3430,2004-05-24,813,Services d'aide temporaire,,2004-05-24,2004-06-28,35,"11346,28","11346,28",0,
103,Élections Canada,2004,1,EXCEL HUMAN RESOURCES,4-3454,2004-05-24,472,Conseillers en technologie d'information,,2004-05-26,2004-07-09,44,25038,25038,0,
104,Élections Canada,2004,1,FSG CONSULTANTS,4-3455,2004-05-24,351,Autres services de communication non spécifiés ailleurs,,2004-05-23,2004-06-28,36,"10004,5","10004,5",0,
105,Élections Canada,2004,1,COSSETTE COMMUNICATIONS,4-3463,2004-06-01,301,Services de réclame,,2004-05-28,2004-06-30,33,"9555367,5","9555367,5",0,
106,Élections Canada,2004,1,EXCEL HUMAN RESOURCES,4-3490,2004-06-01,813,Services d'aide temporaire,,2004-05-26,2004-08-17,83,"19050,96","19050,96",0,
107,Élections Canada,2004,1,EXCEL HUMAN RESOURCES,4-3494,2004-05-26,813,Services d'aide temporaire,,2004-05-27,2005-01-12,230,"78532,66","78532,66",0,
108,Élections Canada,2004,1,PRECISION TRANSFER TECHNOLOGIE,4-3528,2004-05-26,321,Services d'imprimerie,,2004-05-27,2004-08-31,96,"12936,3","12936,3",0,
109,Élections Canada,2004,1,PRECISION TRANSFER TECHNOLOGIE,4-3533,2004-05-28,332,Services audio,,2004-04-19,2004-07-30,102,"23904,87","23904,87",0,
110,Élections Canada,2004,1,DONNA CONA INC.,4-3537,2004-05-31,491,Services de conseillers en gestion,,2004-05-28,2004-12-24,210,"24546,8","24546,8",0,
111,Élections Canada,2004,1,ROBERT HALF CANADA INC.,4-3539,2004-05-27,813,Services d'aide temporaire,,2004-05-31,2005-01-12,226,"88007,5","88007,5",0,
112,Élections Canada,2004,1,ANDRÉE LORTIE,4-3552,2004-05-31,491,Services de conseillers en gestion,,2004-05-28,2004-07-16,49,22470,22470,0,
113,Élections Canada,2004,1,SYSTEMATIX,4-3557,2004-05-28,472,Conseillers en technologie d'information,,2004-05-31,2004-07-09,39,22898,22898,0,
114,Élections Canada,2004,1,BROOKFIELD LEPAGE JOHNSON,4-3567,2004-05-28,709,Autres services d'utilité publique,,2004-05-28,2004-06-29,32,"22009,88","22009,88",0,
115,Élections Canada,2004,1,SPIRIT CREATIVE ADVERTISING,4-3570,2004-06-02,301,Services de réclame,,2004-05-29,2004-12-31,216,"63611,5","63611,5",0,
116,Élections Canada,2004,1,ERA INTEGRATED MARKETING,4-3571,2004-06-03,301,Services de réclame,,2004-05-31,2004-12-31,214,72760,72760,0,
117,Élections Canada,2004,1,COSSETTE COMMUNICATIONS,4-3572,2004-06-08,301,Services de réclame,,2004-05-31,2004-06-30,30,"11582,75","11582,75",0,
118,Élections Canada,2004,1,FÉDÉRATION CANADIENNE POUR L'ALPHABÉTISATION EN FRANÇAIS,4-3573,2004-06-04,352,Services de relations publiques,,2004-05-25,2004-06-30,36,18000,18000,0,
119,Élections Canada,2004,1,THE PEOPLE BANK,4-3576,2004-05-31,813,Services d'aide temporaire,,2004-05-19,2004-08-11,84,"11268,61","11268,61",0,
120,Élections Canada,2004,1,THE PEOPLE BANK,4-3577,2004-05-31,813,Services d'aide temporaire,,2004-05-19,2004-08-11,84,"12613,92","12613,92",0,
121,Élections Canada,2004,1,THE PEOPLE BANK,4-3578,2004-05-31,813,Services d'aide temporaire,,2004-05-19,2004-09-17,121,"11268,61","11268,61",0,
122,Élections Canada,2004,1,THE PEOPLE BANK,4-3579,2004-05-31,813,Services d'aide temporaire,,2004-05-19,2004-12-24,219,"11268,61","11268,61",0,
123,Élections Canada,2004,1,THE PEOPLE BANK,4-3580,2004-05-31,813,Services d'aide temporaire,,2004-05-19,2004-12-24,219,"11268,61","11268,61",0,
124,Élections Canada,2004,1,BARBARA PERSONNEL INC.,4-3584,2004-06-01,813,Services d'aide temporaire,,2004-06-01,2004-11-30,182,"15110,54","15110,54",0,
125,Élections Canada,2004,1,BARBARA PERSONNEL INC.,4-3586,2004-06-01,813,Services d'aide temporaire,,2004-05-17,2004-08-27,102,"15110,54","15110,54",0,
126,Élections Canada,2004,1,BARBARA PERSONNEL INC.,4-3587,2004-06-01,813,Services d'aide temporaire,,2004-05-17,2004-08-27,102,"15110,54","15110,54",0,
127,Élections Canada,2004,1,CANADA POST,4-3588,2004-05-31,499,Autres services professionnels non précisés ailleurs,,2004-05-13,2004-06-30,48,"45933,25","45933,25",0,
128,Élections Canada,2004,1,BARBARA PERSONNEL INC.,4-3589,2004-06-01,813,Services d'aide temporaire,,2004-05-17,2004-11-30,197,"15110,54","15110,54",0,
129,Élections Canada,2004,1,BARBARA PERSONNEL INC.,4-3590,2004-06-01,813,Services d'aide temporaire,,2004-05-17,2004-08-27,102,"15110,54","15110,54",0,
130,Élections Canada,2004,1,BARBARA PERSONNEL INC.,4-3591,2004-06-01,813,Services d'aide temporaire,,2004-05-17,2004-11-30,197,"15110,54","15110,54",0,
131,Élections Canada,2004,1,BARBARA PERSONNEL INC.,4-3593,2004-06-01,813,Services d'aide temporaire,,2004-05-17,2004-07-16,60,"15110,54","15110,54",0,
132,Élections Canada,2004,1,BARBARA PERSONNEL INC.,4-3594,2004-06-01,813,Services d'aide temporaire,,2004-05-17,2004-11-30,197,"15110,54","15110,54",0,
133,Élections Canada,2004,1,BARBARA PERSONNEL INC.,4-3595,2004-06-01,813,Services d'aide temporaire,,2004-05-17,2004-10-08,144,"15110,54","15110,54",0,
134,Élections Canada,2004,1,BARBARA PERSONNEL INC.,4-3596,2004-06-01,813,Services d'aide temporaire,,2004-05-17,2004-07-16,60,"15110,54","15110,54",0,
135,Élections Canada,2004,1,BARBARA PERSONNEL INC.,4-3598,2004-06-01,813,Services d'aide temporaire,,2004-05-17,2004-07-16,60,"15110,54","15110,54",0,
136,Élections Canada,2004,1,BARBARA PERSONNEL INC.,4-3599,2004-06-01,813,Services d'aide temporaire,,2004-05-17,2004-07-16,60,"15110,54","15110,54",0,
137,Élections Canada,2004,1,BARBARA PERSONNEL INC.,4-3600,2004-06-01,813,Services d'aide temporaire,,2004-05-17,2004-08-27,102,"15110,54","15110,54",0,
138,Élections Canada,2004,1,BARBARA PERSONNEL INC.,4-3601,2004-06-01,813,Services d'aide temporaire,,2004-05-17,2004-08-27,102,"15110,54","15110,54",0,
139,Élections Canada,2004,1,BARBARA PERSONNEL INC.,4-3602,2004-06-01,813,Services d'aide temporaire,,2004-05-17,2004-07-16,60,"15110,54","15110,54",0,
140,Élections Canada,2004,1,BARBARA PERSONNEL INC.,4-3603,2004-06-01,813,Services d'aide temporaire,,2004-05-17,2004-07-16,60,"15110,54","15110,54",0,
141,Élections Canada,2004,1,BARBARA PERSONNEL INC.,4-3604,2004-06-01,813,Services d'aide temporaire,,2004-05-17,2004-12-31,228,"14748,88","14748,88",0,
142,Élections Canada,2004,1,BARBARA PERSONNEL INC.,4-3605,2004-06-01,813,Services d'aide temporaire,,2004-05-17,2004-08-27,102,"15110,54","15110,54",0,
143,Élections Canada,2004,1,BARBARA PERSONNEL INC.,4-3606,2004-06-01,813,Services d'aide temporaire,,2004-05-17,2004-08-27,102,"15110,54","15110,54",0,
144,Élections Canada,2004,1,BARBARA PERSONNEL INC.,4-3607,2004-06-01,813,Services d'aide temporaire,,2004-05-17,2004-08-27,102,"15110,54","15110,54",0,
145,Élections Canada,2004,1,FREEBALANCE,4-3621,2004-06-02,472,Conseillers en technologie d'information,,2004-06-02,2005-03-31,302,16050,16050,0,
146,Élections Canada,2004,1,PRINTCRAFTERS INC.,4-3622,2004-06-02,321,Services d'imprimerie,,2004-05-30,2004-08-31,93,23112,23112,0,
147,Élections Canada,2004,1,FREEBALANCE,4-3623,2004-06-02,1228,Logiciels,,2004-06-02,2005-06-01,364,"34796,4","34796,4",0,
148,Élections Canada,2004,1,NATIONAL ABORIGINAL WOMEN'S ORGANIZATION,4-3630,2004-06-08,499,Autres services professionnels non précisés ailleurs,,2004-06-03,2004-07-16,43,53500,53500,0,
149,Élections Canada,2004,1,GML RECORDS MANAGEMENT,4-3631,2004-06-03,859,Autres services commerciaux qui ne sont pas précisés ailleurs,,2004-06-07,2005-03-31,297,24075,24075,0,
150,Élections Canada,2004,1,TRM TECHNOLOGIES INC.,4-3657,2004-06-14,472,Conseillers en technologie d'information,,2004-06-07,2005-03-31,297,40660,40660,0,
151,Élections Canada,2004,1,T BASE COMMUNICATIONS INC.,4-3677,2004-06-09,499,Autres services professionnels non précisés ailleurs,,2004-06-05,2004-06-30,25,58850,58850,0,
152,Élections Canada,2004,1,GILMORE REPRODUCTIONS,4-3683,2004-06-08,321,Services d'imprimerie,,2004-06-08,2004-12-30,205,"21496,3","21496,3",0,
153,Élections Canada,2004,1,CANON CANADA INC.,4-3691,2004-06-09,1239,Autre materiel de bureau,,2004-06-11,2007-06-10,1094,37664,37664,0,
154,Élections Canada,2004,1,S & S SOFTWARE LTD.,4-3696,2004-06-16,472,Conseillers en technologie d'information,,2004-06-07,2004-07-30,53,"26482,5","26482,5",0,
155,Élections Canada,2004,1,CANADIAN INSTITUTE FOR THE BLIND,4-3697,2004-06-16,499,Autres services professionnels non précisés ailleurs,,2004-05-19,2004-06-30,42,"46428,37","46428,37",0,
156,Élections Canada,2004,1,FAMOUS PLAYERS MEDIA,4-3706,2004-06-16,301,Services de réclame,,2004-06-11,2004-06-24,13,"18858,75","18858,75",0,
157,Élections Canada,2004,1,QUNARA INC.,4-3707,2004-06-18,472,Conseillers en technologie d'information,,2004-06-11,2004-07-16,35,"20397,47","20397,47",0,
158,Élections Canada,2004,1,GRAND AND TOY,4-3714,2004-06-11,1179,Marchandises et produits divers,,2004-06-14,2004-06-18,4,"16611,75","16611,75",0,
159,Élections Canada,2004,1,DECIMA RESEARCH INC.,4-3719,2004-06-22,491,Services de conseillers en gestion,,2004-06-14,2004-12-31,200,28890,28890,0,
160,Élections Canada,2004,1,ADECCO,4-3722,2004-06-11,813,Services d'aide temporaire,,2004-06-16,2005-03-11,268,"22646,76","22646,76",0,
161,Élections Canada,2004,1,NATIONAL PRINTERS,4-3726,2004-06-14,321,Services d'imprimerie,,2004-06-11,2004-07-30,49,"12829,3","12829,3",0,
162,Élections Canada,2004,1,FSG CONSULTANTS,4-3740,2004-06-16,472,Conseillers en technologie d'information,,2004-07-01,2004-09-30,91,"43784,4","43784,4",0,
